"_v [cm]","Freq [GHz]","_u []","im(NearEX) [V_per_meter]"
-75,2.4,-0.75,-0.18704391148538
-75,2.4,-0.7425,0.108062728636649
-75,2.4,-0.735,0.402899806093018
-75,2.4,-0.7275,0.676615432510537
-75,2.4,-0.72,0.909740374415735
-75,2.4,-0.7125,1.0855410587277
-75,2.4,-0.705,1.19116024875492
-75,2.4,-0.6975,1.21847052546645
-75,2.4,-0.69,1.16458862725952
-75,2.4,-0.6825,1.03202437357601
-75,2.4,-0.675,0.828464317195243
-75,2.4,-0.6675,0.566215490285428
-75,2.4,-0.66,0.26135688606078
-75,2.4,-0.6525,-0.0676102347829796
-75,2.4,-0.645,-0.399830127529586
-75,2.4,-0.6375,-0.715185547558022
-75,2.4,-0.63,-0.994330130747406
-75,2.4,-0.6225,-1.22016575966064
-75,2.4,-0.615,-1.37883731753413
-75,2.4,-0.6075,-1.46050151281375
-75,2.4,-0.6,-1.45983154374975
-75,2.4,-0.5925,-1.37623790972995
-75,2.4,-0.585,-1.21380435323281
-75,2.4,-0.5775,-0.980955497176712
-75,2.4,-0.57,-0.689888159437366
-75,2.4,-0.5625,-0.355810740119827
-75,2.4,-0.555,0.00403829428195977
-75,2.4,-0.5475,0.371042510690962
-75,2.4,-0.54,0.72668519990212
-75,2.4,-0.5325,1.05321404717391
-75,2.4,-0.525,1.33459092332324
-75,2.4,-0.5175,1.55724160969875
-75,2.4,-0.51,1.71064366262532
-75,2.4,-0.5025,1.78773115189268
-75,2.4,-0.495,1.78510657002333
-75,2.4,-0.4875,1.70306136693621
-75,2.4,-0.48,1.54541669910651
-75,2.4,-0.4725,1.31920459821086
-75,2.4,-0.465,1.03421650829861
-75,2.4,-0.4575,0.702450808204249
-75,2.4,-0.45,0.33749346770773
-75,2.4,-0.4425,-0.0461335451878927
-75,2.4,-0.435,-0.433622896716868
-75,2.4,-0.4275,-0.810501361370813
-75,2.4,-0.42,-1.16319221716573
-75,2.4,-0.4125,-1.4794998167761
-75,2.4,-0.405,-1.74900128350505
-75,2.4,-0.3975,-1.96333613265533
-75,2.4,-0.39,-2.11639030035146
-75,2.4,-0.3825,-2.20437629534318
-75,2.4,-0.375,-2.22581575605088
-75,2.4,-0.3675,-2.18139050850582
-75,2.4,-0.36,-2.07394708789149
-75,2.4,-0.3525,-1.90796876909656
-75,2.4,-0.345,-1.68949065206174
-75,2.4,-0.3375,-1.4257361964768
-75,2.4,-0.33,-1.12479186082448
-75,2.4,-0.3225,-0.795282601232398
-75,2.4,-0.315,-0.446060515324323
-75,2.4,-0.3075,-0.0859168828076388
-75,2.4,-0.3,0.276674363829402
-75,2.4,-0.2925,0.633775978214628
-75,2.4,-0.285,0.978166002438083
-75,2.4,-0.2775,1.30347414825323
-75,2.4,-0.27,1.60427630953933
-75,2.4,-0.2625,1.8761491209286
-75,2.4,-0.255,2.11568773657107
-75,2.4,-0.2475,2.32049094880299
-75,2.4,-0.24,2.48911840558287
-75,2.4,-0.2325,2.62102503790175
-75,2.4,-0.225,2.71647790400435
-75,2.4,-0.2175,2.77646053311268
-75,2.4,-0.21,2.80256954824043
-75,2.4,-0.2025,2.79690790765993
-75,2.4,-0.195,2.7619785686268
-75,2.4,-0.1875,2.70058178325241
-75,2.4,-0.18,2.61567700977332
-75,2.4,-0.1725,2.51048152214155
-75,2.4,-0.165,2.38808626844001
-75,2.4,-0.1575,2.25160384279475
-75,2.4,-0.15,2.10405511944511
-75,2.4,-0.1425,1.94832273584295
-75,2.4,-0.135,1.78711503379867
-75,2.4,-0.1275,1.62293982965747
-75,2.4,-0.12,1.45808718555332
-75,2.4,-0.1125,1.29462021741503
-75,2.4,-0.105,1.13437289475463
-75,2.4,-0.0975,0.978953754583026
-75,2.4,-0.09,0.829754458886234
-75,2.4,-0.0825,0.687962163803135
-75,2.4,-0.075,0.554574731187716
-75,2.4,-0.0675,0.430417892464506
-75,2.4,-0.06,0.316163564252966
-75,2.4,-0.0525,0.212348609716079
-75,2.4,-0.045,0.119393434512689
-75,2.4,-0.0375,0.037619898089699
-75,2.4,-0.03,-0.0327318927567784
-75,2.4,-0.0225,-0.091488262341001
-75,2.4,-0.015,-0.138528400472198
-75,2.4,-0.0075,-0.173772774994534
-75,2.4,0,-0.197173691495056
-75,2.4,0.0075,-0.208442839635057
-75,2.4,0.015,-0.208102924404441
-75,2.4,0.0225,-0.1959080150297
-75,2.4,0.03,-0.171889659711706
-75,2.4,0.0375,-0.13609924932685
-75,2.4,0.045,-0.0886128449667294
-75,2.4,0.0525,-0.0295383250786995
-75,2.4,0.06,0.040975246040981
-75,2.4,0.0675,0.12272616494034
-75,2.4,0.075,0.215446732091597
-75,2.4,0.0825,0.318788224626254
-75,2.4,0.09,0.432304492115864
-75,2.4,0.0975,0.555434537133219
-75,2.4,0.105,0.687484518492553
-75,2.4,0.1125,0.827609697985568
-75,2.4,0.12,0.974796939287963
-75,2.4,0.1275,1.12784845786627
-75,2.4,0.135,1.28536760964201
-75,2.4,0.1425,1.44574758942708
-75,2.4,0.15,1.60716398238217
-75,2.4,0.1575,1.76757216676425
-75,2.4,0.165,1.92471059708038
-75,2.4,0.1725,2.07611099595395
-75,2.4,0.18,2.2191164427513
-75,2.4,0.1875,2.35090825957576
-75,2.4,0.195,2.46854839624756
-75,2.4,0.2025,2.5690415766162
-75,2.4,0.21,2.64930800102889
-75,2.4,0.2175,2.70634810820491
-75,2.4,0.225,2.73728501990256
-75,2.4,0.2325,2.73945072883138
-75,2.4,0.24,2.71047983816479
-75,2.4,0.2475,2.64840885605677
-75,2.4,0.255,2.55177846328408
-75,2.4,0.2625,2.41973558671107
-75,2.4,0.27,2.25213155416906
-75,2.4,0.2775,2.0496121106091
-75,2.4,0.285,1.81369467777736
-75,2.4,0.2925,1.54682797930842
-75,2.4,0.3,1.25242906976575
-75,2.4,0.3075,0.934892937921081
-75,2.4,0.315,0.599570235408806
-75,2.4,0.3225,0.252709338713245
-75,2.4,0.33,-0.0986400979772292
-75,2.4,0.3375,-0.446763695560783
-75,2.4,0.345,-0.783459075013904
-75,2.4,0.3525,-1.10025103794646
-75,2.4,0.36,-1.3886415004847
-75,2.4,0.3675,-1.64038836187036
-75,2.4,0.375,-1.84780533392759
-75,2.4,0.3825,-2.00384361211532
-75,2.4,0.39,-2.10330845696019
-75,2.4,0.3975,-2.14181041212324
-75,2.4,0.405,-2.11691563598264
-75,2.4,0.4125,-2.02814993895341
-75,2.4,0.42,-1.8771614841314
-75,2.4,0.4275,-1.66781061414265
-75,2.4,0.435,-1.40617494465364
-75,2.4,0.4425,-1.10046068068022
-75,2.4,0.45,-0.760814779091272
-75,2.4,0.4575,-0.399037004563701
-75,2.4,0.465,-0.0281959510895537
-75,2.4,0.4725,0.33784148832847
-75,2.4,0.48,0.6849521946334
-75,2.4,0.4875,0.999350100890549
-75,2.4,0.495,1.26820555250889
-75,2.4,0.5025,1.48026173864106
-75,2.4,0.51,1.62641653866534
-75,2.4,0.5175,1.70023703335023
-75,2.4,0.525,1.69837463363919
-75,2.4,0.5325,1.62085144090837
-75,2.4,0.54,1.47119312196156
-75,2.4,0.5475,1.25639018444504
-75,2.4,0.555,0.986677861329868
-75,2.4,0.5625,0.675134505222793
-75,2.4,0.57,0.337118480591226
-75,2.4,0.5775,-0.0105268550448355
-75,2.4,0.585,-0.35015147720435
-75,2.4,0.5925,-0.664356300061855
-75,2.4,0.6,-0.936895613034771
-75,2.4,0.6075,-1.15359589496624
-75,2.4,0.615,-1.30319286730732
-75,2.4,0.6225,-1.37803244282853
-75,2.4,0.63,-1.3745863379845
-75,2.4,0.6375,-1.29374182967522
-75,2.4,0.645,-1.14083714345033
-75,2.4,0.6525,-0.925428690301037
-75,2.4,0.66,-0.660793008372776
-75,2.4,0.6675,-0.36318379307488
-75,2.4,0.675,-0.0508816447660874
-75,2.4,0.6825,0.256910114928356
-75,2.4,0.69,0.541257236402498
-75,2.4,0.6975,0.784698521029454
-75,2.4,0.705,0.972382240917629
-75,2.4,0.7125,1.0930563359685
-75,2.4,0.72,1.13984046693956
-75,2.4,0.7275,1.11072025402577
-75,2.4,0.735,1.00872120799181
-75,2.4,0.7425,0.841740967643117
-75,2.4,0.75,0.622042129303603
-74.25,2.4,-0.75,0.103742418818085
-74.25,2.4,-0.7425,0.39571006431796
-74.25,2.4,-0.735,0.666554943114769
