"_v [cm]","Freq [GHz]","_u []","re(NearEX) [V_per_meter]"
-75,2.4,-0.75,1.08710942139468
-75,2.4,-0.7425,1.1144379312045
-75,2.4,-0.735,1.06268682102818
-75,2.4,-0.7275,0.934323644502832
-75,2.4,-0.72,0.737201242956389
-75,2.4,-0.7125,0.483979237190166
-75,2.4,-0.705,0.191218277337252
-75,2.4,-0.6975,-0.121781070328432
-75,2.4,-0.69,-0.434307261902822
-75,2.4,-0.6825,-0.725638289198408
-75,2.4,-0.675,-0.976416035938522
-75,2.4,-0.6675,-1.16990222882825
-75,2.4,-0.66,-1.29303542360282
-75,2.4,-0.6525,-1.33704200568181
-75,2.4,-0.645,-1.29858706004758
-75,2.4,-0.6375,-1.17906253383033
-75,2.4,-0.63,-0.984912383497325
-75,2.4,-0.6225,-0.727061941898733
-75,2.4,-0.615,-0.420185076432919
-75,2.4,-0.6075,-0.0817646626155683
-75,2.4,-0.6,0.268987343826636
-75,2.4,-0.5925,0.612278524599721
-75,2.4,-0.585,0.928881095193653
-75,2.4,-0.5775,1.20120539092804
-75,2.4,-0.57,1.41424180158492
-75,2.4,-0.5625,1.55632256963758
-75,2.4,-0.555,1.61958358499083
-75,2.4,-0.5475,1.60057860377338
-75,2.4,-0.54,1.49994651747065
-75,2.4,-0.5325,1.32249335518819
-75,2.4,-0.525,1.07676548956441
-75,2.4,-0.5175,0.774501258175617
-75,2.4,-0.51,0.429944729649207
-75,2.4,-0.5025,0.0590662771140579
-75,2.4,-0.495,-0.321263510645532
-75,2.4,-0.4875,-0.694100975884486
-75,2.4,-0.48,-1.04321540143865
-75,2.4,-0.4725,-1.35379715048356
-75,2.4,-0.465,-1.61305820808592
-75,2.4,-0.4575,-1.81070339131213
-75,2.4,-0.45,-1.93925892885894
-75,2.4,-0.4425,-1.99425346549706
-75,2.4,-0.435,-1.97425436331274
-75,2.4,-0.4275,-1.88076907495055
-75,2.4,-0.42,-1.71802707294135
-75,2.4,-0.4125,-1.49266215335373
-75,2.4,-0.405,-1.21331781005091
-75,2.4,-0.3975,-0.89019980797392
-75,2.4,-0.39,-0.534600159812647
-75,2.4,-0.3825,-0.158415584021049
-75,2.4,-0.375,0.226318605827332
-75,2.4,-0.3675,0.607801902900629
-75,2.4,-0.36,0.975087955113795
-75,2.4,-0.3525,1.31806302337865
-75,2.4,-0.345,1.62793246009495
-75,2.4,-0.3375,1.89735470438297
-75,2.4,-0.33,2.12056136938059
-75,2.4,-0.3225,2.2934105239529
-75,2.4,-0.315,2.41337846360218
-75,2.4,-0.3075,2.47949715452347
-75,2.4,-0.3,2.4922458586546
-75,2.4,-0.2925,2.45340622330996
-75,2.4,-0.285,2.36589038844236
-75,2.4,-0.2775,2.23355148836498
-75,2.4,-0.27,2.06098537613354
-75,2.4,-0.2625,1.85333155781479
-75,2.4,-0.255,1.61608027223338
-75,2.4,-0.2475,1.35489146835359
-75,2.4,-0.24,1.07543018971872
-75,2.4,-0.2325,0.783221636898422
-75,2.4,-0.225,0.483527997639114
-75,2.4,-0.2175,0.18124805191129
-75,2.4,-0.21,-0.119160394651201
-75,2.4,-0.2025,-0.413736001220884
-75,2.4,-0.195,-0.699048707191751
-75,2.4,-0.1875,-0.972215764698652
-75,2.4,-0.18,-1.23078992900107
-75,2.4,-0.1725,-1.47316771473559
-75,2.4,-0.165,-1.69796611076621
-75,2.4,-0.1575,-1.90435850069864
-75,2.4,-0.15,-2.0919465900763
-75,2.4,-0.1425,-2.26071374190201
-75,2.4,-0.135,-2.4109757261214
-75,2.4,-0.1275,-2.54333059649264
-75,2.4,-0.12,-2.65860913872386
-75,2.4,-0.1125,-2.7578270623231
-75,2.4,-0.105,-2.84213984576578
-75,2.4,-0.0975,-2.91280089847422
-75,2.4,-0.09,-2.97112347963406
-75,2.4,-0.0825,-3.01844661693703
-75,2.4,-0.075,-3.05610510007187
-75,2.4,-0.0675,-3.08540348484583
-75,2.4,-0.06,-3.10759393367978
-75,2.4,-0.0525,-3.12385763545076
-75,2.4,-0.045,-3.13528949018006
-75,2.4,-0.0375,-3.14288570939292
-75,2.4,-0.03,-3.14753396839889
-75,2.4,-0.0225,-3.15000574949173
-75,2.4,-0.015,-3.15095053243896
-75,2.4,-0.0075,-3.15089151806805
-75,2.4,0,-3.15022260990626
-75,2.4,0.0075,-3.14911645405603
-75,2.4,0.015,-3.14788660527271
-75,2.4,0.0225,-3.14643956675175
-75,2.4,0.03,-3.14464005798429
-75,2.4,0.0375,-3.14222120177991
-75,2.4,0.045,-3.13878619687756
-75,2.4,0.0525,-3.13381083909745
-75,2.4,0.06,-3.12664706393584
-75,2.4,0.0675,-3.11652773434177
-75,2.4,0.075,-3.10257294217015
-75,2.4,0.0825,-3.08379812863432
-75,2.4,0.09,-3.05912435592687
-75,2.4,0.0975,-3.02739107677504
-75,2.4,0.105,-2.98737174860082
-75,2.4,0.1125,-2.93779262159494
-75,2.4,0.12,-2.87735499278209
-75,2.4,0.1275,-2.804761158532
-75,2.4,0.135,-2.71874421368162
-75,2.4,0.1425,-2.6181017346393
-75,2.4,0.15,-2.50173324536507
-75,2.4,0.1575,-2.36868119869879
-75,2.4,0.165,-2.21817501205584
-75,2.4,0.1725,-2.04967747840383
-75,2.4,0.18,-1.8629326347678
-75,2.4,0.1875,-1.65801391733931
-75,2.4,0.195,-1.435575471964
-75,2.4,0.2025,-1.19607289463412
-75,2.4,0.21,-0.941041135319873
-75,2.4,0.2175,-0.672303417128607
-75,2.4,0.225,-0.392198892560603
-75,2.4,0.2325,-0.103594462163266
-75,2.4,0.24,0.190117349355541
-75,2.4,0.2475,0.485036753960459
-75,2.4,0.255,0.776793377380636
-75,2.4,0.2625,1.06060298215859
-75,2.4,0.27,1.33134547172994
-75,2.4,0.2775,1.58366476596749
-75,2.4,0.285,1.81209034593725
-75,2.4,0.2925,2.01117933524781
-75,2.4,0.3,2.17567693728964
-75,2.4,0.3075,2.30069191229587
-75,2.4,0.315,2.3818825968287
-75,2.4,0.3225,2.41564779301747
-75,2.4,0.33,2.39931574743456
-75,2.4,0.3375,2.33132346974044
-75,2.4,0.345,2.21137788445357
-75,2.4,0.3525,2.04058984266701
-75,2.4,0.36,1.82157191914532
-75,2.4,0.3675,1.55849125151424
-75,2.4,0.375,1.25706949679805
-75,2.4,0.3825,0.924487951459229
-75,2.4,0.39,0.569439286168095
-75,2.4,0.3975,0.201625867788741
-75,2.4,0.405,-0.168257368612035
-75,2.4,0.4125,-0.528908981707858
